,0
1058,-707686.359606
1059,-709444.515548
1060,-709370.314418
1061,-703564.043041
1062,-701749.930636
1063,-705638.308914
1064,-707514.959111
1065,-707805.953973
1066,-706114.700574
1067,-708306.808664
1068,-709052.394017
1069,-709502.154493
1070,-709249.244136
1071,-709399.828507
1072,-707485.448916
1073,-707438.328254
1074,-702709.60733
1075,-700912.440462
1076,-703635.274613
1077,-704962.710114
1078,-704928.436074
1079,-706864.956633
1080,-709386.524994
1081,-708242.977322
1082,-706866.338851
1083,-707683.020153
1084,-704595.38507
1085,-703848.562857
1086,-706959.236933
1087,-708118.549001
1088,-706164.13206
1089,-706471.019043
1090,-708522.208105
1091,-709428.033717
1092,-709891.208878
1093,-709903.872496
1094,-705620.085364
1095,-707813.872747
1096,-709110.705574
1097,-703941.827944
1098,-702099.285714
1099,-705172.32088
1100,-708976.911454
1101,-709820.317556
1102,-709257.888353
1103,-708010.012263
1104,-708533.293559
1105,-709449.523813
1106,-708834.465291
1107,-709995.176716
1108,-709221.205425
1109,-708549.921137
1110,-708950.8085
1111,-704834.717246
1112,-708592.647004
1113,-707855.555376
1114,-707825.246641
1115,-701525.293429
1116,-701923.786362
1117,-706625.868122
1118,-705743.578766
1119,-707836.240337
1120,-704259.628688
1121,-705840.083859
1122,-706770.555008
1123,-708450.954624
1124,-709357.686035
1125,-708749.271874
1126,-708744.64988
1127,-707896.197338
1128,-708275.482185
1129,-703983.289476
1130,-704789.710774
1131,-707185.695077
1132,-707209.709398
1133,-707545.338451
1134,-708944.581562
1135,-708950.102502
1136,-706813.59584
1137,-705836.820123
1138,-705541.691442
1139,-701782.499344
1140,-705801.741798
1141,-707385.598175
1142,-706708.618847
1143,-706526.10578
1144,-708660.381108
1145,-710524.26267
1146,-710029.035828
1147,-708986.542963
1148,-707446.211177
1149,-708655.09585
1150,-706708.240898
1151,-707957.345146
1152,-708954.158806
1153,-707308.262883
1154,-702303.72102
1155,-701038.469041
1156,-701660.703598
1157,-703881.736131
1158,-708566.504419
1159,-709263.990631
1160,-709817.781115
1161,-708506.604351
1162,-706392.40837
1163,-705940.658629
1164,-708635.654675
1165,-709595.791164
1166,-707701.347602
1167,-705675.29599
1168,-701809.481133
1169,-706001.41231
1170,-707915.303581
1171,-709424.331155
1172,-710229.760897
1173,-709635.94005
1174,-710308.670376
1175,-710147.359712
1176,-707128.36621
1177,-701105.554091
1178,-702227.941648
1179,-706605.715718
1180,-709385.094064
1181,-709240.274521
1182,-708456.02379
1183,-705289.944322
1184,-706647.326321
1185,-708403.245253
1186,-707782.178302
1187,-705481.425785
1188,-706619.925522
1189,-709306.831023
1190,-710370.634617
1191,-705882.753735
1192,-708098.420656
1193,-707829.165408
1194,-708913.400696
1195,-709721.049276
1196,-710566.274064
1197,-709217.402105
1198,-707442.052524
1199,-702106.855994
1200,-707623.297336
1201,-709676.659413
1202,-709812.885469
1203,-710973.864983
1204,-710484.858652
1205,-710415.101944
1206,-710437.037117
1207,-710194.910852
1208,-704488.733076
1209,-706119.521701
1210,-705687.393221
1211,-706174.255618
1212,-705416.909117
1213,-705060.047261
1214,-705244.978551
1215,-707102.216101
1216,-707095.149194
1217,-705815.662769
1218,-707510.254505
1219,-709744.991165
1220,-709234.966787
1221,-710625.744423
1222,-709036.310133
1223,-706570.019915
1224,-709779.77295
1225,-708861.439985
1226,-706439.682029
1227,-708169.01621
1228,-709943.116449
1229,-708232.856367
1230,-706655.083533
1231,-707797.541039
1232,-707393.48527
1233,-709543.591213
1234,-708813.601087
1235,-709676.813534
1236,-708735.487254
1237,-708321.422174
1238,-700550.252963
1239,-707548.957797
1240,-709607.936013
1241,-709880.987948
1242,-708480.358172
1243,-709022.003469
1244,-709232.769923
1245,-706059.275809
1246,-704688.457405
1247,-707324.153158
1248,-709201.705533
1249,-708937.353039
1250,-709532.836684
1251,-709975.110178
1252,-709787.459074
1253,-709494.789252
1254,-704656.52951
1255,-704269.787464
1256,-704283.716919
1257,-704924.269868
1258,-706522.469526
1259,-708846.664536
1260,-708428.862013
1261,-708299.856179
1262,-708010.64171
1263,-709068.93713
1264,-703528.328935
1265,-704354.157455
1266,-706131.850258
1267,-701921.452421
1268,-701836.680869
1269,-701942.490446
1270,-703675.770029
1271,-705727.790732
1272,-705876.638549
1273,-706539.747539
1274,-709506.477
1275,-709125.173076
1276,-702713.393127
1277,-701993.234701
1278,-704006.070165
1279,-704187.572711
1280,-703059.64165
1281,-704943.775317
1282,-710414.600132
1283,-710442.452566
1284,-708906.177022
1285,-708827.38528
1286,-708371.952503
1287,-710933.800089
1288,-710647.974434
1289,-708607.995212
1290,-707379.813144
1291,-709045.06115
1292,-708454.328082
1293,-708303.887378
1294,-708507.495896
1295,-704876.670791
1296,-708257.743537
1297,-709382.481252
1298,-708629.474085
1299,-709115.730267
1300,-709866.341072
1301,-710001.010894
1302,-710388.619587
1303,-708602.436704
1304,-709370.566563
1305,-707497.198479
1306,-707813.364311
1307,-709500.258834
1308,-707864.789208
1309,-703994.020415
1310,-704447.605105
1311,-706891.605873
1312,-708059.299251
1313,-708324.005557
1314,-703813.404865
1315,-706389.636656
1316,-708122.029662
1317,-708739.784159
1318,-710368.090915
1319,-709850.404694
1320,-709645.846767
1321,-706718.28403
1322,-704317.101852
1323,-706833.770032
1324,-708484.78625
1325,-708307.362818
1326,-707572.653837
1327,-703739.648799
1328,-701956.477961
1329,-705065.913714
1330,-706503.369266
1331,-709647.275809
1332,-708951.732326
1333,-708006.923284
1334,-700376.565303
1335,-699909.800375
1336,-704902.485286
1337,-703699.200455
1338,-703110.921284
1339,-704770.810184
1340,-703853.931652
1341,-703627.211218
1342,-704587.332027
1343,-706677.80568
1344,-707811.200672
1345,-710158.987317
1346,-709467.301403
1347,-709086.642659
1348,-706773.533848
1349,-704178.438662
1350,-705920.046331
1351,-709060.503658
1352,-708526.188977
1353,-707590.643645
1354,-703384.636602
1355,-702961.768702
1356,-701850.813545
1357,-700825.028863
1358,-703704.740324
1359,-705489.473738
1360,-704183.243747
1361,-707593.848035
1362,-707901.804963
1363,-706361.651547
1364,-705434.435958
1365,-706708.991883
1366,-708818.739229
1367,-710397.992389
1368,-710280.888268
1369,-709248.972066
1370,-710708.451973
1371,-709731.738923
1372,-707688.241806
1373,-709143.330886
1374,-707568.991348
1375,-708844.494425
1376,-707959.839513
1377,-707536.397505
1378,-700500.964225
1379,-704020.152449
1380,-707266.831645
1381,-707417.869172
1382,-707658.740418
1383,-708838.376444
1384,-708179.238218
1385,-709858.55967
1386,-703516.688925
1387,-703101.386677
1388,-705311.241489
1389,-706577.553689
1390,-708602.165327
1391,-707589.597598
1392,-706578.002652
